StudentID,IdNumber,CourseKey,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Average of AttendanceRate,Withdrawn
436,0502458,ONASE-HP121B-2021,ONASE,N,N,6,0,1,0,PT,FE,Other vocational programme – other,Other,72,2021-08-26 00:00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,3259,Male,Prefer not to say,Scotland,None,Prefer not to say,1,0
450,0502548,HCACC-BF123A-2023,HCACC,N,N,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,6,2023-08-28 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,2643,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.5,0
539,0503139,NQHUB6-HE123A-2023,NQHUB6,N,Y,160,17,1,0,PT,FE,Other vocational programme – other,Dunfermline,1,2023-08-22 00:00:00,N,Permanent or temporary employment,Universal Credit (UC),No,No known disability,No,No,Scottish,2497,Female,Other,Scotland,None,Heterosexual/straight,1,0
539,0503139,NQPFS5-BF121A-2021,NQPFS5,N,N,720,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,0,2021-08-30 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2497,Female,Other,Scotland,None,Heterosexual/straight,1,0
595,0503614,ICPBT5-LF122A-2022,ICPBT5,N,N,640,18,1,32,FT,FE,Other vocational programme – other,Levenmouth,14,2022-08-29 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Specific learning difficulty,No,No,Scottish,332,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
628,0503813,HCAIT-HE222A-2022,HCAIT,N,N,240,34,2,0,PT,HE,Other vocational programme – other,Dunfermline,36,2022-08-30 00:00:00,N,Permanent or temporary employment,Universal Credit (UC),No,No known disability,No,No,Scottish,1030,Female,Other,Scotland,None,Heterosexual/straight,1,0
628,0503813,HCAIT-HE121A-2021,HCAIT,N,N,240,34,2,0,PT,HE,Other vocational programme – other,Dunfermline,54,2021-08-30 00:00:00,N,Permanent or temporary employment,Fee waiver – working tax credit,No,No known disability,No,No,Scottish,4390,Female,Other,Scotland,None,Heterosexual/straight,1,0
633,0503975,ICTRT5-BF123A-2023,ICTRT5,N,N,640,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,41,2023-08-28 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,610,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
780,0504917,ONGEA4-SF121B-2021,ONGEA4,N,Y,720,36,1,18,FT,FE,Other vocational programme – other,Glenrothes,54,2021-08-30 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Specific learning difficulty,No,No,Scottish,2099,Male,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0.7647,1
783,0504921,NQACC6-SF121A-2021,NQACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Glenrothes,54,2021-08-30 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,British,5127,Female,Other,England,Christian: Protestant,Heterosexual/straight,1,1
841,0505086,HDLSV-BF221A-2021,HDLSV,N,N,600,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,39,2021-08-30 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,Mental Health Condition,No,No,Scottish,5751,Female,Other,Scotland,None,Heterosexual/straight,1,0
874,0505422,NQENG6-HE122A-2022,NQENG6,N,N,160,16,1,9,PT,FE,Other vocational programme – other,Dunfermline,38,2022-09-01 00:00:00,N,Permanent or temporary employment,Self-financing student,No,Specific learning difficulty,No,No,Scottish,2100,Female,Prefer not to say,Scotland,None,Bi/bisexual,0,1
900,0505553,HCCYB7-BF123A-2023,HCCYB7,N,Y,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,11,2023-08-28 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,847,Male,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
958,0505944,NQPSS5-BF121A-2021,NQPSS5,N,N,640,36,1,0,FT,FE,Other vocational programme – other,Kirkcaldy,54,2021-08-30 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2690,Male,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
961,0505984,ONMOT2-SS122A-2022,ONMOT2,N,Y,26,1,1,26,PT,FE,Other vocational programme – other,Glenrothes,56,2022-08-25 00:00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,3523,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
984,0506196,NCCHS5-SF121B-2021,NCCHS5,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,21,2021-08-30 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,3789,Female,Married,Scotland,None,Gay woman/lesbian,1,0
984,0506196,NQACC6-SF122A-2022,NQACC6,N,N,760,40,1,19,FT,FE,Other vocational programme – other,Glenrothes,39,2022-08-29 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,3789,Female,Married,Scotland,None,Gay woman/lesbian,1,0
1078,0507286,HDACP-BF121A-2021,HDACP,N,N,600,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,45,2021-08-30 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,Yes,No,British,372,Female,Prefer not to say,England,None,Heterosexual/straight,0.5385,1
1127,0507619,NCPHO6-HF121A-2021,NCPHO6,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Dunfermline,13,2021-08-30 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,480,Female,Married,Scotland,Prefer not to say,Heterosexual/straight,0.5,1
