StudentID,IdNumber,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Withdrawn
1653,0510497,CDGFL4,N,Y,20,8,1,5,PT,FE,Other vocational programme – other,Other,0,10/08/2023 11:41,N,Not registered unemployed but not working,Fee waiver – low income,No,Specific learning difficulty,No,No,Scottish,667,Male,Other,Scotland,None,Heterosexual/straight,0
1653,0510497,ICSPF5,N,N,640,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,10,28/08/2023 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Specific learning difficulty,No,No,Scottish,667,Male,Other,Scotland,None,Heterosexual/straight,0
1736,0510838,ACACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Glenrothes,34,28/08/2023 00:00,Y,Student on Scottish wider access programme (SWAP),Fee waiver – full-time non-advanced,No,No known disability,No,No,British,1798,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
1874,0511632,HDCHP,N,N,280,40,2,7,PT,HE,Other vocational programme – other,Dunfermline,19,12/09/2023 00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,2902,Female,Prefer not to say,Scotland,Another religion or body,Heterosexual/straight,0
1874,0511632,HECCHI,N,N,0,52,1,0,PT,HE,Other vocational programme – other,Other,-31,28/08/2023 00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,2902,Female,Prefer not to say,Scotland,Another religion or body,Heterosexual/straight,0
1964,0511912,MACSA,N,Y,80,40,4,2,PT,FE,Other vocational programme – other,Dunfermline,5,29/08/2023 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,Specific learning difficulty,No,No,Scottish,359,Male,Prefer not to say,Scotland,Christian: Protestant,Heterosexual/straight,0
1977,0511930,ONCIP,N,Y,50,4,1,0,PT,HE,Other vocational programme – other,Glenrothes,13,03/10/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,4363,Male,Other,Scotland,None,Heterosexual/straight,0
2089,0512242,HCELE,N,Y,240,34,2,0,PT,HE,Other vocational programme – other,Rosyth,10,31/08/2023 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,UK industry and commerce,No,No known disability,No,No,Scottish,3202,Male,Other,Scotland,None,Heterosexual/straight,0
2089,0512242,MAELE6,N,Y,120,45,4,0,PT,FE,Other vocational programme – other,Rosyth,-233,02/08/2023 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,No known disability,No,No,Scottish,3202,Male,Other,Scotland,None,Heterosexual/straight,0
2133,0512348,HEEFAW,N,Y,80,40,1,2,PT,HE,Other vocational programme – other,Other,-85,30/08/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,667,Male,Other,Scotland,None,Heterosexual/straight,0
2136,0512351,HCSOS,N,N,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,6,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1877,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
2137,0512352,ONPHI6,N,N,40,9,1,5,PT,FE,Other vocational programme – other,Kirkcaldy,-12,18/08/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,2213,Female,Married,Scotland,None,Bi/bisexual,0
2137,0512352,ONWLF5,N,N,20,20,1,1,PT,FE,Other vocational programme – other,Other,0,27/02/2024 15:44,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,No,No,Scottish,2213,Female,Married,Scotland,None,Bi/bisexual,0
2137,0512352,PDACC8,N,N,280,40,1,7,PT,HE,Other vocational programme – other,Dunfermline,-84,01/08/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,2213,Female,Married,Scotland,None,Bi/bisexual,0
2141,0512357,NCEEG6,N,Y,680,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,24,28/08/2023 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,Yes,No known disability,No,No,Scottish,1753,Male,Prefer not to say,Scotland,None,Heterosexual/straight,1
2199,0512649,VQRST3,N,Y,520,40,4,0,PT,FE,Other vocational programme – other,Glenrothes,0,21/08/2023 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,No known disability,No,No,Scottish,6562,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
2201,0512651,ICBEA5,N,N,640,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,48,28/08/2023 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,866,Female,Prefer not to say,Scotland,None,Bi/bisexual,0
2215,0512703,HDARD,N,N,600,40,2,15,FT,HE,Other vocational programme – other,Kirkcaldy,45,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,Multiple(+MH),Yes,No,British,3144,Female,Other,Scotland,None,Other,0
