StudentID,IdNumber,CourseKey,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Average of AttendanceRate,Withdrawn
1516,0510060,HDCHP-HE121A-2021,HDCHP,N,N,320,40,2,15,PT,HE,Other vocational programme – other,Dunfermline,22,31/08/2021 00:00,N,Permanent or temporary employment,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1036,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0.4,1
1550,0510184,ACTEV6-BF121A-2021,ACTEV6,N,N,640,36,1,16,FT,FE,Other vocational programme – other,Kirkcaldy,20,30/08/2021 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1299,Female,Other,Scotland,None,Prefer not to say,0,0
1639,0510435,NQACC6-SF121A-2021,NQACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Glenrothes,18,30/08/2021 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1001,Male,Married,Scotland,None,Heterosexual/straight,0,0
1705,0510778,HCCYB7-BF121A-2021,HCCYB7,N,Y,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,28,30/08/2021 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,642,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0.8878648648648648,0
1758,0510900,ONCIP-SD121I-2021,ONCIP,N,Y,42,3,1,0,PT,HE,Other vocational programme – other,Glenrothes,107,25/05/2022 00:00,N,Permanent or temporary employment,UK industry and commerce,No,Specific learning difficulty,No,No,Scottish,3308,Male,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,1,0
1758,0510900,ONDEL-HP121E-2021,ONDEL,N,N,12,0,1,0,PT,FE,Other vocational programme – other,Other,-21,10/02/2022 00:00,N,Permanent or temporary employment,UK industry and commerce,No,Specific learning difficulty,No,No,Scottish,3308,Male,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,1,0
1758,0510900,ONEWR18-SD121M-2021,ONEWR18,N,N,22,1,1,0,PT,FE,Other vocational programme – other,Glenrothes,29,08/03/2022 00:00,N,Permanent or temporary employment,UK industry and commerce,No,Specific learning difficulty,No,No,Scottish,3308,Male,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,1,0
1783,0510935,HCELE-HD221A-2021,HCELE,N,Y,240,34,2,0,PT,HE,Other vocational programme – other,Rosyth,25,30/08/2021 00:00,N,Permanent or temporary employment,UK industry and commerce,No,Specific learning difficulty,No,No,Scottish,3523,Male,Other,Scotland,None,Heterosexual/straight,0.9419942857142857,0
1794,0511025,HDCIR-SF221A-2021,HDCIR,N,N,600,36,2,0,FT,HE,Other vocational programme – other,Glenrothes,56,30/08/2021 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,3620,Male,Other,Scotland,None,Heterosexual/straight,0.8970189189189189,0
1826,0511283,NQACC6-SF121A-2021,NQACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Glenrothes,54,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,4345,Female,Prefer not to say,Scotland,Christian: Protestant,Heterosexual/straight,0.9758351351351351,0
1830,0511449,NQHSC6-SF121A-2021,NQHSC6,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,54,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2690,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.9688916666666666,0
1852,0511592,MACAJ2-SB321B-2021,MACAJ2,N,Y,120,21,4,0,PT,FE,Other vocational programme – other,Glenrothes,-105,30/08/2021 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,No known disability,No,No,Scottish,6044,Male,Other,Scotland,None,Heterosexual/straight,0.1859714285714286,0
1964,0511912,ONDSC5-HF121A-2021,ONDSC5,N,N,720,34,3,20,FT,FE,Other vocational programme – other,Dunfermline,0,23/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Specific learning difficulty,No,No,Scottish,359,Male,Prefer not to say,Scotland,Christian: Protestant,Heterosexual/straight,0.8557575757575757,0
1996,0511956,NQMAT4-HE121A-2021,NQMAT4,N,Y,160,36,1,0,PT,FE,Other vocational programme – other,Dunfermline,48,24/08/2021 00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,5201,Male,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0.8333333333333334,0
2027,0512085,MAPLU3-SB321A-2021,MAPLU3,N,N,480,29,3,0,PT,FE,Other vocational programme – other,Glenrothes,34,20/09/2021 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,No known disability,No,No,Scottish,4144,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0.9857133333333333,0
2055,0512139,NPCSY4-HP121A-2021,NPCSY4,N,Y,120,12,1,6,PT,FE,Vocational programme – supported by Government training scheme (e.g. Employability Fund (SDS)) – other,Dunfermline,-7,25/10/2021 00:00,N,Not registered unemployed but not working,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,Specific learning difficulty,No,No,Scottish,3316,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.7833300000000001,0
2089,0512242,NQELE6-HD121A-2021,NQELE6,N,Y,480,34,1,0,PT,FE,Other vocational programme – other,Rosyth,-15,30/08/2021 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,No known disability,No,No,Scottish,4303,Male,Other,Scotland,None,Heterosexual/straight,0.9982138888888888,0
