EnrolmentID,StudentID,AllCourseID,AcademicYear,Age,ClassSize,Age_CourseStart,EnrolledOnDate,AnnualStartDate,AnnualEndDate,HasChildcareFund,HasHardshipFund,HE,FE,FT,GenderCode,EthnicityCode,DisabilityCode,Count of CourseCodeID,Confirmed,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ReligionCode,ScqfLevelCode,Semester2Start,SexualOrientationCode,SIMD_Rank,PI_1
1556053,195045,BD1A,2022,17,14,15,2023-04-11 00:00:00,2022-08-30 00:00:00,2023-06-14 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,3,07,34,280,Y,01,05,N,1,6461,Completed: Successful
1414162,190304,BD1A,2022,17,14,16,2022-09-06 00:00:00,2022-08-30 00:00:00,2023-06-14 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,4,07,34,280,Y,01,05,N,1,1846,Completed: Successful
1418623,176198,BD1A,2022,17,14,16,2022-09-13 00:00:00,2022-08-30 00:00:00,2023-06-14 00:00:00,0,0,N,Y,N,F,15,01,1,1,0,3,3,07,34,280,Y,10,05,N,1,961,Further Withdrawal
1524884,99496,BD1A,2022,17,14,16,2023-01-30 00:00:00,2022-08-30 00:00:00,2023-06-14 00:00:00,0,0,N,Y,N,F,31,01,1,1,0,3,3,07,34,280,Y,11,05,N,1,3471,Completed: Successful
1556311,104009,BD1A,2022,17,14,16,2023-04-11 00:00:00,2022-08-30 00:00:00,2023-06-14 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,3,07,34,280,Y,01,05,N,1,2972,Completed: Successful
1414148,190303,BD1A,2022,18,14,16,2022-09-06 00:00:00,2022-08-30 00:00:00,2023-06-14 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,4,07,34,280,Y,01,05,N,1,3226,Completed: Successful
1571294,159035,BD1A,2022,19,10,18,2022-08-29 00:00:00,2022-08-29 00:00:00,2023-07-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,4,07,34,280,Y,01,06,N,1,3805,Completed: Successful
1418518,146525,BD1A,2022,20,10,18,2022-09-13 00:00:00,2022-08-29 00:00:00,2023-07-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,4,07,34,280,Y,01,06,N,1,1767,Early Withdrawal
1568870,123436,BD1A,2022,20,10,18,2023-06-07 00:00:00,2022-08-29 00:00:00,2023-07-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,3,07,34,280,Y,01,06,N,1,5483,Completed: Successful
1418511,157066,BD1A,2022,20,10,19,2022-09-13 00:00:00,2022-08-29 00:00:00,2023-07-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,3,07,34,280,Y,01,06,N,1,5139,Completed: Successful
1418526,117441,BD1A,2022,22,10,21,2022-09-13 00:00:00,2022-08-29 00:00:00,2023-07-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,4,07,34,280,Y,11,06,N,1,400,Completed: Successful
1568224,176590,BD1A,2022,25,10,24,2023-06-06 00:00:00,2022-08-29 00:00:00,2023-07-29 00:00:00,0,0,N,Y,N,M,10,09,1,1,0,2,3,07,34,280,Y,01,06,N,2,328,Completed: Successful
1549541,176590,BD1A,2022,25,14,24,2022-08-31 00:00:00,2022-08-30 00:00:00,2023-06-14 00:00:00,0,0,N,Y,N,M,10,09,1,1,0,3,3,07,34,280,Y,01,05,N,2,328,Completed: Successful
1423244,190631,BD1B,2022,25,12,24,2022-09-23 00:00:00,2022-08-29 00:00:00,2023-06-16 00:00:00,0,0,N,Y,N,F,10,02,1,1,5,1,3,07,40,480,Y,01,04,N,1,69,Further Withdrawal
1423097,156311,BD1B,2022,39,12,38,2022-09-22 00:00:00,2022-08-29 00:00:00,2023-06-16 00:00:00,0,0,N,Y,N,F,10,99,1,1,5,1,4,07,40,480,Y,01,04,N,6,69,Further Withdrawal
