EnrolmentID,IdNumber,Age,Age_CourseStart,AllCourseID,AnnualStartDate,AnnualEndDate,EnrolledOnDate,ClassSize,DisabilityCode,EthnicityCode,FE,FT,GenderCode,HasChildcareFund,HasHardshipFund,HE,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ScqfLevelCode,ReligionCode,SexualOrientationCode,SIMD_Rank,PI_1,AttendanceRate,AuthAbsenseRate,AbsenseRate
1421705,2271788,36,35,HF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,23,01,31,Y,Y,M,0,0,N,0,1,3,17,36,760,N,06,01,4,800,Early Withdrawal,0.7778,0,0.2222
1421733,2272749,61,60,FO1A,2022-08-29 00:00:00,2023-06-16 00:00:00,2022-09-21 00:00:00,10,01,10,Y,N,M,0,0,N,5,1,4,16,40,184,Y,05,01,1,4741,Completed: Partial Success,1,0,0
1421734,2271779,30,29,HE1A,2022-08-22 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,12,01,10,Y,N,F,0,0,N,6,1,3,09,40,240,Y,06,01,1,1843,Completed: Successful,1,0,0
1421745,1985787,42,41,BW1F,2022-08-29 00:00:00,2023-06-10 00:00:00,2022-09-21 00:00:00,0,01,33,Y,N,F,0,0,N,0,1,3,11,35,200,Y,07,03,1,3477,Completed: Successful,,,
1421748,2267146,17,15,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,02,10,Y,Y,M,0,0,N,18,1,3,17,40,720,N,06,02,1,829,Further Withdrawal,0.954214,0,0.045785
1421763,2268589,50,49,HE1A,2022-08-24 00:00:00,2023-06-30 00:00:00,2022-09-21 00:00:00,75,01,10,N,N,M,0,0,Y,0,2,3,16,37,390,Y,08,02,1,4540,Completed: Partial Success,,,
1421769,1641695,17,16,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,01,31,Y,Y,F,0,0,N,18,1,3,17,40,720,N,06,01,1,3453,Further Withdrawal,0.853166,0.146833,0.146833
1421784,2267741,20,18,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,01,13,Y,Y,F,0,0,N,18,1,3,17,40,720,N,06,03,1,1527,Further Withdrawal,0.75215,0,0.24785
1421799,1738505,22,20,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,01,10,Y,Y,F,0,0,N,18,1,4,17,40,720,N,06,01,1,1032,Further Withdrawal,1,0,0
1421814,1859042,20,19,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,99,10,Y,Y,I,0,1,N,18,1,4,17,40,720,N,06,01,2,3926,Further Withdrawal,1,0,0
1421844,1749354,57,55,BW1F,2022-08-22 00:00:00,2023-06-16 00:00:00,2022-08-22 00:00:00,0,01,10,Y,N,M,0,0,N,0,1,1,11,36,240,Y,07,01,1,1745,Completed: Partial Success,,,
1421845,2262896,19,17,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,99,11,Y,Y,M,0,0,N,18,1,3,17,40,720,N,06,01,1,5127,Completed: Partial Success,1,0,0
1421867,2272759,37,36,HO1A,2022-08-01 00:00:00,2023-07-31 00:00:00,2022-09-21 00:00:00,0,01,10,Y,N,M,0,0,N,5,1,4,07,14,72,Y,06,11,6,3232,Completed: Successful,,,
1421868,2263587,19,18,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,01,14,Y,Y,M,0,0,N,18,1,3,17,40,720,N,06,01,6,961,Completed: Partial Success,0.777783,0,0.222216
1421883,2147389,33,32,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,01,33,Y,Y,F,0,1,N,18,1,1,17,40,720,N,06,03,1,1445,Completed: Successful,0.945057,0.054942,0.054942
1421898,1627817,54,53,FO1A,2022-08-29 00:00:00,2023-06-16 00:00:00,2022-09-21 00:00:00,10,01,31,Y,N,M,0,0,N,5,1,4,16,40,184,Y,05,03,1,720,Completed: Partial Success,1,0,0
1421924,1640773,18,17,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,99,10,Y,Y,M,0,1,N,18,1,3,17,40,720,N,06,01,1,3792,Early Withdrawal,0.142866,0,0.857133
1422019,L000191111,39,38,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,01,33,Y,Y,F,0,1,N,18,1,3,17,40,720,N,06,03,6,1627,Completed: Successful,1,0,0
1422036,2266795,29,27,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,99,10,Y,Y,F,0,0,N,18,1,3,17,40,720,N,06,01,1,5310,Further Withdrawal,1,0,0
1422060,2264778,19,17,HF1A,2022-08-30 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,21,01,17,Y,Y,F,0,0,N,18,1,3,17,40,720,N,06,05,6,1891,Early Withdrawal,0.104166,0,0.895833
1422075,1925720,18,16,BF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,25,99,10,Y,Y,F,0,1,N,18,1,4,17,40,720,N,05,11,5,642,Completed: Partial Success,0.65385,0.34615,0.34615
1422076,2268775,37,36,EE1B,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-21 00:00:00,18,01,10,N,N,F,0,0,Y,7,2,3,09,30,280,Y,07,01,6,3431,Completed: Successful,,,
1422077,2267566,37,36,EE1A,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-21 00:00:00,22,01,10,N,N,F,0,0,Y,7,2,3,09,30,280,Y,07,02,1,1459,Completed: Partial Success,,,
1422078,1503557,24,23,SF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,12,01,31,Y,Y,M,0,1,N,0,1,4,17,36,720,N,06,01,1,469,Completed: Successful,0.72725,0.27275,0.27275
1422079,2267979,41,40,BF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,60,01,14,Y,Y,F,0,1,N,0,1,3,17,36,720,N,02,04,1,6847,Completed: Successful,0.62856,0.12858,0.37144
1422081,2264327,40,38,SP1A,2022-08-30 00:00:00,2023-01-26 00:00:00,2022-09-21 00:00:00,12,01,17,Y,N,F,0,0,N,11,1,3,08,18,200,Y,03,05,6,2781,Completed: Successful,0.830357,0,0.169642
1422082,2267949,41,40,BF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,60,01,10,Y,Y,F,0,1,N,0,1,3,17,36,720,N,02,11,6,5186,Further Withdrawal,0.525,0.04286,0.47142
1422083,2267965,22,21,BF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,32,01,10,Y,Y,I,0,1,N,18,1,3,17,40,720,N,03,11,6,2337,Completed: Successful,1,0,0
1422130,2152589,19,17,HS2A,2022-08-29 00:00:00,2023-01-29 00:00:00,2022-09-15 00:00:00,5,01,10,Y,N,F,0,0,N,14,1,3,05,18,216,Y,05,01,1,1881,Completed: Successful,0.985346,0.014653,0.014653
1422163,2152588,20,18,HS2A,2022-08-29 00:00:00,2023-01-29 00:00:00,2022-09-09 00:00:00,5,01,10,Y,N,M,0,0,N,14,1,3,05,18,216,Y,05,02,1,3680,Completed: Successful,0.931172,0,0.062336
1422187,2152418,19,18,HS2A,2022-08-29 00:00:00,2023-01-29 00:00:00,2022-09-16 00:00:00,5,02,10,Y,N,M,0,0,N,14,1,3,05,18,216,Y,05,01,1,4836,Completed: Successful,0.972523,0.027476,0.027476
1422207,2153370,18,17,HS2A,2022-08-29 00:00:00,2023-01-29 00:00:00,2022-09-09 00:00:00,5,01,10,Y,N,M,0,0,N,14,1,3,05,18,216,Y,05,01,1,5187,Completed: Partial Success,0.7671,0.090909,0.2026
1422231,2152414,21,20,HS2A,2022-08-29 00:00:00,2023-01-29 00:00:00,2022-09-16 00:00:00,5,01,14,Y,N,M,0,0,N,14,1,3,05,18,216,Y,05,01,1,3652,Completed: Successful,0.94603,0,0.052746
1422268,1641123,18,17,SP1B,2022-08-30 00:00:00,2023-06-17 00:00:00,2022-09-21 00:00:00,12,05,10,Y,N,M,0,0,N,9,1,4,08,40,340,Y,03,01,6,6419,Completed: Successful,0.8,0,0.2
1422287,2043987,52,51,HW1A,2022-08-03 00:00:00,2023-07-26 00:00:00,2022-09-21 00:00:00,6,01,24,N,N,F,0,0,Y,0,2,1,11,40,160,Y,09,01,1,6575,Completed: Successful,,,
1422312,1516966,18,16,SP1A,2022-08-23 00:00:00,2023-06-17 00:00:00,2022-09-21 00:00:00,12,01,10,Y,N,M,0,0,N,9,1,4,08,40,340,Y,03,01,1,3274,Early Withdrawal,1,0,0
1422326,2272788,45,43,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,01,10,N,N,M,0,0,Y,0,2,3,08,34,166,Y,07,01,1,6295,Early Withdrawal,1,0,0
